43,36,7,57,58
43,36,45,7,67
43,55,36,45,58
43,58,55,36,45
7,43,4,57,15
63,43,58,23,53
28,25,54,47,8
28,65,54,25,72
28,65,72,25,54
28,65,54,25,47
28,65,54,25,72
28,65,25,54,72
28,65,25,54,72
28,65,72,25,54
28,47,56,25,53
28,47,17,66,56
28,47,56,12,66
24,13,42,70,26
13,24,42,70,26
13,24,42,70,26
13,24,42,70,26
26,20,44,64,37
26,48,20,22,67
26,13,70,42,24
26,13,59,24,70
24,13,42,70,26
26,20,48,41,22
24,13,42,70,26
24,13,42,70,26
26,20,44,41,37
24,13,42,70,26
26,20,44,41,64
24,13,42,70,26
24,13,42,70,26
24,13,42,70,26
26,20,48,41,22
24,13,42,70,26
24,13,42,70,26
24,13,42,70,26
13,24,42,70,26
24,13,42,70,26
26,20,44,41,49
26,64,20,38,37
24,13,42,70,26
24,13,42,70,26
24,13,42,70,26
67,22,48,62,26
24,13,42,70,26
24,13,42,70,26
26,20,44,64,37
13,24,42,70,26
13,70,24,26,42
24,13,42,70,26
67,62,22,48,26
26,20,44,41,64
24,13,42,70,26
13,24,70,42,26
24,13,42,70,26
24,13,42,70,26
28,47,8,56,66
28,47,56,66,17
67,15,7,62,4
36,7,43,45,67
7,67,36,15,43
43,58,36,57,55
67,62,22,68,15
67,62,22,26,20
24,13,42,70,26
42,13,24,70,26
26,38,44,71,37
24,13,42,70,26
24,13,42,70,26
26,44,38,71,51
24,13,42,70,26
26,13,70,42,39
30,26,71,44,51
26,38,64,50,39
26,39,50,64,42
42,13,70,24,26
42,24,13,70,26
26,50,64,38,39
26,64,38,50,37
42,70,13,24,26
7,15,43,4,67
43,55,36,58,45
63,43,58,23,67
43,7,36,15,4
43,58,63,23,57
43,57,4,53,7
36,43,7,45,67
36,43,7,45,67
7,15,43,67,4
43,57,4,7,53
67,15,62,7,26
7,15,67,4,43
43,55,36,45,67
43,58,55,36,45
43,36,7,57,4
7,67,15,4,43
67,15,62,68,22
67,62,15,7,26
