60,61,48,11,53,35,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
48,60,4,61,52,38,0,0,0,0,0,0
60,9,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0
60,48,0,0,0,0,0,0,0,0,0,0
48,51,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0
11,22,0,0,0,0,0,0,0,0,0,0
60,11,20,44,14,0,0,0,0,0,0,0
48,52,60,4,28,11,9,53,0,0,0,0
35,60,0,0,0,0,0,0,0,0,0,0
48,60,11,38,62,0,0,0,0,0,0,0
13,60,25,0,0,0,0,0,0,0,0,0
